element_symbol,element_name,type,subtype,class,subclass,biosample_acc,asm_acc,target_acc,start_on_contig,end_on_contig,strand,pct_ref_coverage,pct_ref_identity
blaCTX-M-14,extended-spectrum class A beta-lactamase CTX-M-14,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN18874749,GCA_019927905.1,PDT001128422.2,233,1108,+,100.0,100.0
oqxB19,multidrug efflux RND transporter permease subunit OqxB19,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,SAMN02138579,GCA_000567725.1,PDT000022773.1,285641,288793,+,100.0,100.0
yfdX1,heat resistance protein YfdX1,STRESS,HEAT,,,SAMN04014917,GCA_003571525.1,PDT000380976.1,114286,115200,-,100.0,99.34
dfrA1,trimethoprim-resistant dihydrofolate reductase DfrA1,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,SAMN05213494,GCA_001720865.1,PDT000148430.1,718,1191,-,100.0,100.0
blaNDM-1,subclass B1 metallo-beta-lactamase NDM-1,AMR,AMR,BETA-LACTAM,CARBAPENEM,SAMN04514124,GCA_022316195.1,PDT000111521.2,353,1165,+,100.0,100.0
tmexD3,multidrug efflux RND transporter permease subunit TMexD3,AMR,AMR,TETRACYCLINE,TIGECYCLINE,SAMN23150586,GCA_021245865.1,PDT001211267.1,3659,6793,+,100.0,100.0
ncrY,nickel resistance OB fold protein NcrY,STRESS,METAL,NICKEL,NICKEL,SAMN02356621,GCA_000566785.1,PDT000022728.1,28156,28554,+,80.71,100.0
blaOXA-48,OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-48,AMR,AMR,BETA-LACTAM,CARBAPENEM,SAMN04448243,GCA_022315895.1,PDT000130453.2,26,823,+,100.0,100.0
iroD,catecholate siderophore esterase IroD,VIRULENCE,VIRULENCE,,,SAMN11054834,GCA_004924315.1,PDT000497533.1,114976,116205,+,100.0,98.78
terD,tellurium resistance membrane protein TerD,STRESS,METAL,TELLURIUM,TELLURIUM,SAMN07672549,GCA_003203435.1,PDT000327866.1,162742,163320,-,100.0,98.96
ant(4')-IIb,aminoglycoside nucleotidyltransferase ANT(4')-IIb,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,SAMN10086700,GCA_014946935.1,PDT000870019.1,13450,14181,+,96.81,90.53
aac(3)-IIe,aminoglycoside N-acetyltransferase AAC(3)-IIe,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,SAMN12738925,GCA_008704145.1,PDT000595123.1,281692,282552,+,100.0,100.0
aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,SAMN03316892,GCA_000937465.2,PDT000050773.2,80140,80955,+,100.0,100.0
oqxB20,multidrug efflux RND transporter permease subunit OqxB20,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,SAMN05213502,GCA_001720815.1,PDT000148427.1,363523,366675,-,100.0,100.0
blaPDC-19a,class C beta-lactamase PDC-19a,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN36409445,GCA_030504675.1,PDT001823068.1,32697,33890,-,100.0,100.0
aph(3')-VI,APH(3')-VI family aminoglycoside O-phosphotransferase,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,SAMN35159612,GCA_031044995.2,PDT001744196.2,21,800,+,100.0,100.0
blaKPC-2,carbapenem-hydrolyzing class A beta-lactamase KPC-2,AMR,AMR,BETA-LACTAM,CARBAPENEM,SAMN23219801,GCA_020985265.1,PDT001185294.1,93653,94534,-,100.0,100.0
tmexD3,multidrug efflux RND transporter permease subunit TMexD3,AMR,AMR,TETRACYCLINE,TIGECYCLINE,SAMN23150585,GCA_021245785.1,PDT001211266.1,3653,6787,+,100.0,100.0
qacG2,quaternary ammonium compound efflux SMR transporter QacG2,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,SAMN04014875,GCA_001875075.1,PDT000158315.1,3498,3830,+,100.0,100.0
rmtC,RmtC family 16S rRNA (guanine(1405)-N(7))-methyltransferase,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,SAMN05213496,GCA_001720905.1,PDT000148432.1,382,1227,+,100.0,100.0
blaOXA,OXA-1 family class D beta-lactamase,AMR,AMR,BETA-LACTAM,BETA-LACTAM,SAMN34111336,GCA_029621445.1,PDT001682689.1,578,1408,-,100.0,99.64
arr-3,NAD(+)--rifampin ADP-ribosyltransferase Arr-3,AMR,AMR,RIFAMYCIN,RIFAMYCIN,SAMN35159601,GCA_031045855.2,PDT001744153.2,725,1177,+,100.0,100.0
blaSHV-12,extended-spectrum class A beta-lactamase SHV-12,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN02581267,GCA_000694855.1,PDT000030689.1,307599,308459,-,100.0,100.0
iucA,aerobactin synthase IucA,VIRULENCE,VIRULENCE,,,SAMN04448237,GCA_022315975.1,PDT000130446.2,17715,19439,-,99.83,90.09
cmlA1,chloramphenicol efflux MFS transporter CmlA1,AMR,AMR,PHENICOL,CHLORAMPHENICOL,SAMN02141985,GCA_000417145.1,PDT000015906.2,220,1479,+,100.0,100.0
blaPDC,PDC family class C beta-lactamase,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN07291551,GCA_003288435.1,PDT000343390.1,2131956,2133149,+,100.0,99.75
catA1,type A-1 chloramphenicol O-acetyltransferase,AMR,AMR,PHENICOL,CHLORAMPHENICOL,SAMN04014984,GCA_002180315.1,PDT000217003.1,52436,53095,-,100.0,100.0
blaPDC-8,class C beta-lactamase PDC-8,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN09788404,GCA_003969865.1,PDT000425023.1,119523,120716,-,100.0,100.0
yfdX2,heat resistance protein YfdX2,STRESS,HEAT,,,SAMN40930681,GCA_038080935.1,PDT002136286.1,383238,384125,+,100.0,93.22
qnrS1,quinolone resistance pentapeptide repeat protein QnrS1,AMR,AMR,QUINOLONE,QUINOLONE,SAMN29928035,GCA_024580215.1,PDT001381287.1,15638,16294,+,100.0,100.0
cmlA1,chloramphenicol efflux MFS transporter CmlA1,AMR,AMR,PHENICOL,CHLORAMPHENICOL,SAMN04014953,GCA_002180155.1,PDT000216999.1,15462,16721,+,100.0,100.0
mph(E),Mph(E) family macrolide 2'-phosphotransferase,AMR,AMR,MACROLIDE,ERYTHROMYCIN,SAMN04014909,GCA_002055855.1,PDT000197021.1,262806,263690,-,100.0,100.0
blaCTX-M-14,extended-spectrum class A beta-lactamase CTX-M-14,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN18874693,GCA_019930285.1,PDT001128535.2,5,880,-,100.0,100.0
terB,tellurium resistance membrane protein TerB,STRESS,METAL,TELLURIUM,TELLURIUM,SAMN04014909,GCA_002055855.1,PDT000197021.1,195677,196132,-,100.0,100.0
blaOXA-181,OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-181,AMR,AMR,BETA-LACTAM,CARBAPENEM,SAMN04014892,GCA_022316255.1,PDT000115260.2,129,926,+,100.0,100.0
terB,tellurium resistance membrane protein TerB,STRESS,METAL,TELLURIUM,TELLURIUM,SAMN35159665,GCA_031044435.2,PDT001744225.2,9176,9631,-,100.0,100.0
ftsI_R504C,Pseudomonas aeruginosa carbapenem resistant FtsI,AMR,POINT,BETA-LACTAM,CARBAPENEM,SAMN29442025,GCA_024714595.1,PDT001395153.2,94160,95896,-,100.0,99.83
terB,tellurium resistance membrane protein TerB,STRESS,METAL,TELLURIUM,TELLURIUM,SAMN10086816,GCA_014840245.1,PDT000855218.1,2011,2466,+,100.0,100.0
blaSHV-28,broad-spectrum class A beta-lactamase SHV-28,AMR,AMR,BETA-LACTAM,BETA-LACTAM,SAMN10086700,GCA_014946935.1,PDT000870019.1,12372,13232,-,100.0,100.0
aacA43,AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA43,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN/TOBRAMYCIN,SAMN34111336,GCA_029621445.1,PDT001682689.1,318,881,+,100.0,100.0
yfdX1,heat resistance protein YfdX1,STRESS,HEAT,,,SAMN18874773,GCA_019927435.1,PDT001128399.2,9690,10604,-,100.0,99.34
qacE,quaternary ammonium compound efflux SMR transporter QacE,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,SAMN04448238,GCA_022316035.1,PDT000130443.2,501,833,+,100.0,99.09
ftsI_R504C,Pseudomonas aeruginosa carbapenem resistant FtsI,AMR,POINT,BETA-LACTAM,CARBAPENEM,SAMN29441777,GCA_024720715.1,PDT001395455.2,7909,9645,+,100.0,99.83
ncrA,Metal Resistance,STRESS,METAL,NICKEL,NICKEL,SAMN04014844,GCA_001875025.1,PDT000158312.1,62494,63792,+,100.0,100.0
blaKPC-3,carbapenem-hydrolyzing class A beta-lactamase KPC-3,AMR,AMR,BETA-LACTAM,CARBAPENEM,SAMN02581261,GCA_000694795.1,PDT000030686.1,14047,14928,-,100.0,100.0
psi-GI,heat resistance protein PsiE-GI,STRESS,HEAT,,,SAMN35159593,GCA_031045715.2,PDT001744162.2,12406,12903,+,100.0,95.76
aph(4)-Ia,aminoglycoside O-phosphotransferase APH(4)-Ia,AMR,AMR,AMINOGLYCOSIDE,HYGROMYCIN,SAMN02142027,GCA_000417325.1,PDT000015892.2,1058,2083,+,100.0,100.0
terD,tellurium resistance membrane protein TerD,STRESS,METAL,TELLURIUM,TELLURIUM,SAMN10086743,GCA_014840405.1,PDT000855225.1,80881,81459,-,100.0,98.96
ble,bleomycin binding protein Ble-MBL,AMR,AMR,BLEOMYCIN,BLEOMYCIN,SAMN04014999,GCA_002180255.1,PDT000217001.1,34634,34999,+,100.0,100.0
oqxB19,multidrug efflux RND transporter permease subunit OqxB19,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,SAMN02138583,GCA_000567685.1,PDT000022771.1,2410695,2413847,-,100.0,100.0
rmpA2,mucoid phenotype regulator RmpA2,VIRULENCE,VIRULENCE,,,SAMN07672549,GCA_003203435.1,PDT000327866.1,138963,139598,-,100.0,98.58
blaOXA-488,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-488,AMR,AMR,BETA-LACTAM,BETA-LACTAM,SAMN36409445,GCA_030504675.1,PDT001823068.1,19252,20040,+,100.0,100.0
qacE,quaternary ammonium compound efflux SMR transporter QacE,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,SAMN33329571,GCA_030253475.1,PDT001778385.1,2190733,2190933,+,58.26,100.0
ftsI_R504C,Pseudomonas aeruginosa carbapenem resistant FtsI,AMR,POINT,BETA-LACTAM,CARBAPENEM,SAMN29441787,GCA_024720555.1,PDT001395447.2,27397,29133,-,100.0,99.83
blaOXA-9,oxacillin-hydrolyzing class D beta-lactamase OXA-9,AMR,AMR,BETA-LACTAM,BETA-LACTAM,SAMN35159593,GCA_031045715.2,PDT001744162.2,1545,2369,+,100.0,100.0
ftsI_R504C,Pseudomonas aeruginosa carbapenem resistant FtsI,AMR,POINT,BETA-LACTAM,CARBAPENEM,SAMN29442029,GCA_024714515.1,PDT001395149.2,94160,95896,-,100.0,99.83
qnrB1,quinolone resistance pentapeptide repeat protein QnrB1,AMR,AMR,QUINOLONE,QUINOLONE,SAMN04448241,GCA_001709295.1,PDT000145747.1,38153,38797,-,100.0,100.0
ompK36_T136TDT,Klebsiella pneumoniae carbapenem resistant OmpK36,AMR,POINT,BETA-LACTAM,CARBAPENEM,SAMN04448231,GCA_022315615.1,PDT000130467.2,53437,54546,+,100.0,98.92
blaOXA-10,oxacillin-hydrolyzing class D beta-lactamase OXA-10,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN04014948,GCA_002202275.1,PDT000219972.1,119767,120567,+,100.0,100.0
iroC,salmochelin/enterobactin export ABC transporter IroC,VIRULENCE,VIRULENCE,,,SAMN10405417,GCA_003951235.1,PDT000421923.1,394296,397964,+,100.0,84.3
oqxB5,multidrug efflux RND transporter permease subunit OqxB5,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,SAMN04015001,GCA_003571585.1,PDT000380978.1,881749,884901,+,100.0,100.0
toprJ1,multidrug efflux transporter outer membrane subunit TOprJ1,AMR,AMR,TETRACYCLINE,TIGECYCLINE,SAMN23150585,GCA_021245785.1,PDT001211266.1,6792,8225,+,100.0,100.0
iroB,salmochelin biosynthesis C-glycosyltransferase IroB,VIRULENCE,VIRULENCE,,,SAMN10405413,GCA_003951245.1,PDT000421924.1,284441,285556,-,100.0,89.22
catA1,type A-1 chloramphenicol O-acetyltransferase,AMR,AMR,PHENICOL,CHLORAMPHENICOL,SAMN02138620,GCA_000567505.1,PDT000022762.1,113187,113846,-,100.0,100.0
dfrA15,trimethoprim-resistant dihydrofolate reductase DfrA15,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,SAMN29928037,GCA_024580195.1,PDT001381286.1,148890,149363,-,100.0,100.0
qnrVC1,quinolone resistance pentapeptide repeat protein QnrVC1,AMR,AMR,QUINOLONE,QUINOLONE,SAMN23150586,GCA_021245865.1,PDT001211267.1,300,956,+,100.0,100.0
blaDHA-1,extended-spectrum class C beta-lactamase DHA-1,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN04014920,GCA_003073335.1,PDT000311281.1,120938,122077,-,100.0,100.0
aac(3)-IIe,aminoglycoside N-acetyltransferase AAC(3)-IIe,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,SAMN07450844,GCA_022299635.1,PDT000231449.2,44,904,+,100.0,100.0
dfrA15,trimethoprim-resistant dihydrofolate reductase DfrA15,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,SAMN02581397,GCA_000694535.1,PDT000030673.1,92741,93214,+,100.0,98.73
dfrA5,trimethoprim-resistant dihydrofolate reductase DfrA5,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,SAMN39956422,GCA_036669215.1,PDT002080300.1,57,530,+,100.0,100.0
aac(3)-IId,aminoglycoside N-acetyltransferase AAC(3)-IId,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,SAMN06350007,GCA_013180525.1,PDT000751085.1,4904,5764,-,100.0,100.0
iroC,salmochelin/enterobactin export ABC transporter IroC,VIRULENCE,VIRULENCE,,,SAMN10405431,GCA_003951115.1,PDT000421918.1,89373,93041,-,100.0,84.38
blaOXA-48,OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-48,AMR,AMR,BETA-LACTAM,CARBAPENEM,SAMN12738927,GCA_008704045.1,PDT000595117.1,39812,40609,-,100.0,100.0
shsP,small heat shock protein sHSP20-GI,STRESS,HEAT,,,SAMN18874773,GCA_019927435.1,PDT001128399.2,10627,11085,-,100.0,99.34
cmlA5,chloramphenicol efflux MFS transporter CmlA5,AMR,AMR,PHENICOL,CHLORAMPHENICOL,SAMN03316892,GCA_000937465.2,PDT000050773.2,81310,82569,-,100.0,100.0
yfdX2,heat resistance protein YfdX2,STRESS,HEAT,,,SAMN04014917,GCA_003571525.1,PDT000380976.1,113296,114183,-,100.0,98.98
blaKPC-2,carbapenem-hydrolyzing class A beta-lactamase KPC-2,AMR,AMR,BETA-LACTAM,CARBAPENEM,SAMN02581269,GCA_000694895.1,PDT000030691.1,17709,18590,+,100.0,100.0
iroN,siderophore salmochelin receptor IroN,VIRULENCE,VIRULENCE,,,SAMN10405423,GCA_003951175.1,PDT000421920.1,122412,124586,-,100.0,100.0
qnrS1,quinolone resistance pentapeptide repeat protein QnrS1,AMR,AMR,QUINOLONE,QUINOLONE,SAMN35159602,GCA_031045875.2,PDT001744152.2,763,1419,-,100.0,100.0
aph(4)-Ia,aminoglycoside O-phosphotransferase APH(4)-Ia,AMR,AMR,AMINOGLYCOSIDE,HYGROMYCIN,SAMN04514119,GCA_022316345.1,PDT000111516.2,1042,2067,+,100.0,100.0
aac(3)-IIe,aminoglycoside N-acetyltransferase AAC(3)-IIe,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,SAMN04014883,GCA_001874695.1,PDT000158307.1,32653,33513,+,100.0,100.0
ble,bleomycin binding protein Ble-MBL,AMR,AMR,BLEOMYCIN,BLEOMYCIN,SAMN10086826,GCA_014840325.1,PDT000855222.1,3409,3774,+,100.0,100.0
arr-2,NAD(+)--rifampin ADP-ribosyltransferase Arr-2,AMR,AMR,RIFAMYCIN,RIFAMYCIN,SAMN10086696,GCA_014840555.1,PDT000855232.1,7813,8265,-,100.0,100.0
aph(3')-VIb,aminoglycoside O-phosphotransferase APH(3')-VIb,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,SAMN04448241,GCA_001709295.1,PDT000145747.1,25203,25982,-,100.0,98.84
ble,bleomycin binding protein Ble-MBL,AMR,AMR,BLEOMYCIN,BLEOMYCIN,SAMN08045836,GCA_022299455.1,PDT000265737.3,6261,6626,-,100.0,100.0
blaSHV-28,broad-spectrum class A beta-lactamase SHV-28,AMR,AMR,BETA-LACTAM,BETA-LACTAM,SAMN10086734,GCA_014840475.1,PDT000855228.1,79217,80077,+,100.0,100.0
blaTEM,TEM family class A beta-lactamase,AMR,AMR,BETA-LACTAM,BETA-LACTAM,SAMN04448239,GCA_022315985.1,PDT000130445.2,84,905,+,95.45,97.81
terC,tellurium resistance membrane protein TerC,STRESS,METAL,TELLURIUM,TELLURIUM,SAMN18874760,GCA_019927625.1,PDT001128408.2,27560,28600,+,100.0,99.42
aac(3)-IId,aminoglycoside N-acetyltransferase AAC(3)-IId,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,SAMN02581391,GCA_000694475.2,PDT000030670.2,33012,33872,-,100.0,100.0
arr-2,NAD(+)--rifampin ADP-ribosyltransferase Arr-2,AMR,AMR,RIFAMYCIN,RIFAMYCIN,SAMN10086747,GCA_014840535.1,PDT000855231.1,286,738,+,100.0,100.0
pmrB_V15I,Pseudomonas aeruginosa colistin resistant PmrB,AMR,POINT,COLISTIN,COLISTIN,SAMN07291552,GCA_003324255.1,PDT000352612.1,5563551,5564984,+,100.0,98.74
ftsI_R504C,Pseudomonas aeruginosa carbapenem resistant FtsI,AMR,POINT,BETA-LACTAM,CARBAPENEM,SAMN29441780,GCA_024720675.1,PDT001395453.2,7910,9646,+,100.0,99.83
aac(3)-IId,aminoglycoside N-acetyltransferase AAC(3)-IId,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,SAMN02356595,GCA_000534335.1,PDT000021118.1,478,1338,-,100.0,100.0
catB,type B chloramphenicol O-acetyltransferase,AMR,AMR,PHENICOL,CHLORAMPHENICOL,SAMN04448233,GCA_022315575.1,PDT000130468.2,117,749,+,100.0,100.0
blaOXA,OXA-10 family class D beta-lactamase,AMR,AMR,BETA-LACTAM,BETA-LACTAM,SAMN05213498,GCA_001720805.1,PDT000148428.1,47630,48397,+,96.24,99.22
msr(E),ABC-F type ribosomal protection protein Msr(E),AMR,AMR,MACROLIDE/STREPTOGRAMIN,AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN,SAMN10086816,GCA_014840245.1,PDT000855218.1,4871,6346,-,100.0,100.0
ftsI_R504C,Pseudomonas aeruginosa carbapenem resistant FtsI,AMR,POINT,BETA-LACTAM,CARBAPENEM,SAMN29441806,GCA_024720165.1,PDT001395428.2,27405,29141,-,100.0,99.83
oqxB19,multidrug efflux RND transporter permease subunit OqxB19,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,SAMN06754730,GCA_022299955.1,PDT000201878.2,2885,6037,+,100.0,100.0
ble,bleomycin binding protein Ble-MBL,AMR,AMR,BLEOMYCIN,BLEOMYCIN,SAMN18874760,GCA_019927625.1,PDT001128408.2,12044,12409,-,100.0,100.0
aadA6,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA6,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,SAMN09788337,GCA_003968305.1,PDT000424959.1,1262,2107,+,100.0,100.0
